ID, TimeInGame, TotalScore, RedScore, BlueScore, OrangeScore, GreenScore, CyanScore, TotalDistance(Meters), DistancePerSec(Meters)
7856761,2,0,0,0,0,0,0,2.889275,0.04815458
7560418,33,0,0,0,0,0,0,50.01108,0.833518
7560418,352,0,0,0,0,0,0,306.992,5.116533
0702116,945,6,2,1,1,1,1,1381.503,23.02505
5355253,254,3,1,1,1,0,0,371.9044,6.198406
7338065,191,7,2,2,1,1,1,219.6787,3.661312
0266505,143,3,1,1,1,0,0,215.6822,3.594704
2801324,947,5,1,1,1,1,1,1073.95,17.89916
dsfdssf,118,1,1,0,0,0,0,80.30924,1.338487
313133,1,0,0,0,0,0,0,2.48316,0.041386
342342,253,2,1,1,0,0,0,569.4431,9.490718
213444,257,0,0,0,0,0,0,74.43626,1.240604
4324242,234,1,1,0,0,0,0,198.8284,3.313807
